date_forward,bg_fasting
2021-03-12,-1.0
2021-03-13,3.0
2021-03-14,5.0
2021-03-15,-3.0
2021-03-16,-1.0
2021-03-17,0.0
2021-03-18,-3.0
2021-03-19,5.0
2021-03-20,1.0
2021-03-21,-9.0
2021-03-22,2.0
2021-03-23,5.0
2021-03-24,-5.0
2021-03-25,3.0
2021-03-26,0.0
2021-03-27,-3.0
2021-03-28,0.0
2021-03-29,7.0
2021-03-30,-5.0
2021-03-31,5.0
2021-04-01,-9.0
2021-04-02,2.0
2021-04-03,7.0
2021-04-04,-1.0
2021-04-05,-5.0
2021-04-06,6.0
2021-04-07,-6.0
2021-04-08,15.0
2021-04-09,-6.0
2021-04-10,-3.0
2021-04-11,-5.0
2021-04-12,10.0
2021-04-13,-7.0
2021-04-14,7.0
2021-04-15,-9.0
2021-04-16,-5.0
2021-04-17,10.0
2021-04-18,5.0
2021-04-19,-8.0
2021-04-20,5.0
2021-04-21,-1.0
2021-04-22,0.0
2021-04-23,1.0
2021-04-24,0.0
2021-04-25,3.0
2021-04-26,-8.0
2021-04-27,7.0
2021-04-28,2.0
2021-04-29,0.0
2021-04-30,-2.0
2021-05-01,3.0
2021-05-02,-9.0
2021-05-03,7.0
2021-05-04,8.0
2021-05-05,-9.0
2021-05-06,-5.0
2021-05-07,9.0
2021-05-08,5.0
